cpc_1,cpc_2,prob_rupture,convergence_type,acteurs_communs
F16D,F16H,0.0113,SYM,561
A61K,C12Y,0.0112,GPT,1160
B41J,B41M,0.0112,SYM,315
A61M,A61P,0.011,ASYM,848
E05Y,E05F,0.011,SYM,648
H02S,H10F,0.0109,ASYM,317
B32B,B65D,0.0109,ASYM,700
B41J,C09D,0.0108,ASYM,232
A43B,A43C,0.0107,ASYM,113
C12N,C12P,0.0106,GPT,994
A61M,A61B,0.0105,ASYM,2147
H04B,H04L,0.0102,ASYM,1473
F25B,F25D,0.0101,SYM,304
B22D,B22C,0.01,ASYM,185
C09J,C08L,0.0099,GPT,655
E05D,E05Y,0.0097,ASYM,614
H04W,H04J,0.0097,GPT,386
A61P,C12Y,0.0096,GPT,1065
B65B,B65D,0.0096,ASYM,720
F24F,F25B,0.0096,SYM,297
H02J,B60L,0.0096,SYM,750
G06F,H04L,0.0096,SYM,3184
C07C,B01J,0.0096,SYM,973
H04L,H04J,0.0095,GPT,497
G05D,F16K,0.0095,ASYM,537
C09J,C08K,0.0093,ASYM,612
C08F,C08L,0.0091,ASYM,964
H01L,H05K,0.0088,SYM,885
C07K,C12N,0.0087,SYM,2441
A61P,C12Q,0.0086,GPT,1283
G01N,B01L,0.0086,GPT,1300
H04N,G06F,0.0084,ASYM,1644
H02J,H02M,0.0084,ASYM,711
B29C,B32B,0.0083,SYM,1711
F05D,F04D,0.0082,ASYM,507
H01L,H10D,0.0082,ASYM,639
H04W,G06F,0.0082,SYM,1840
B60C,C08K,0.0082,GPT,183
C08F,C09D,0.0081,SYM,704
G02B,F21V,0.0081,GPT,561
A61F,A61L,0.0081,SYM,1158
H04B,H04J,0.0079,GPT,457
F02M,F02D,0.0079,SYM,307
C07C,C07F,0.0078,ASYM,701
B29C,B33Y,0.0077,ASYM,1180
C08G,C08J,0.0077,SYM,963
C09J,C09D,0.0077,ASYM,534
B29C,B29L,0.0076,ASYM,2952
G01N,A61P,0.0076,SYM,2218
C08F,C08J,0.0074,SYM,759
G01N,C12Q,0.0074,GPT,1971
H04W,H04M,0.0073,GPT,832
H01L,H10H,0.0072,GPT,565
F21V,F21Y,0.0071,SYM,998
F28D,F28F,0.0071,SYM,1033
A23L,A23V,0.007,SYM,1327
H04N,G06T,0.007,SYM,1484
G01N,C07K,0.0069,ASYM,1848
F21V,F21S,0.0069,SYM,787
B01D,C01B,0.0064,ASYM,697
F02C,F05D,0.0064,ASYM,349
C08J,C09D,0.0064,SYM,854
A61K,A61Q,0.0062,GPT,1752
G01N,A61K,0.0061,SYM,2478
G01N,C12N,0.006,ASYM,1924
C07K,C12Q,0.0059,ASYM,1057
B29C,B29K,0.0054,ASYM,2710
H04W,H04L,0.0054,SYM,2482
B60G,F16F,0.0054,ASYM,249
C08L,C08J,0.0053,ASYM,1450
C08K,C09D,0.0053,SYM,1239
C08F,C08K,0.0053,SYM,835
C08L,C08G,0.0052,SYM,1365
A61K,C07D,0.0048,ASYM,2821
C12P,C12Y,0.0045,SYM,623
A61K,C07C,0.0044,GPT,1501
C07C,C07D,0.0043,ASYM,1462
C07D,C07F,0.0043,GPT,816
F21Y,F21S,0.0043,SYM,665
B01D,B01J,0.0042,SYM,1296
H04W,H04B,0.0042,ASYM,1311
C12N,C12Q,0.0041,ASYM,1494
A61P,C07D,0.0041,ASYM,2926
C12N,C12Y,0.0039,GPT,1365
B29K,B29L,0.0039,SYM,2021
A61K,C12N,0.0036,ASYM,3314
C08L,C09D,0.0035,ASYM,1119
F01D,F04D,0.0035,ASYM,276
C08J,C08K,0.0034,SYM,1240
C07K,C12Y,0.0033,ASYM,959
C22C,C21D,0.0032,ASYM,484
C08G,C09D,0.0025,SYM,986
C08L,C08K,0.0024,SYM,1782
A61K,C07K,0.0023,GPT,3487
F05D,F01D,0.0022,SYM,499
C08G,C08K,0.0022,SYM,1133
A61P,C12N,0.0018,ASYM,3000
A61P,C07K,0.0017,ASYM,3250
A61K,A61P,0.001,SYM,9680
