cpc_1,cpc_2,prob_rupture,convergence_type,acteurs_communs
H04L,G06N,0.0917,GPT,637
A61K,C08F,0.0913,GPT,527
B23Q,B24B,0.091,SYM,183
G05B,G01R,0.0905,SYM,643
B41J,G03G,0.09,ASYM,104
H04N,H04M,0.0898,ASYM,498
B60W,G01C,0.0895,SYM,357
H05K,H01Q,0.0893,ASYM,432
G11C,H10N,0.0892,SYM,143
F16B,A47B,0.0888,ASYM,271
G01R,G06N,0.088,SYM,374
A61B,B06B,0.0874,GPT,184
H01H,H01F,0.0869,SYM,243
E05Y,E05B,0.0867,SYM,322
A61P,A01N,0.0861,GPT,622
H04L,H04Q,0.086,GPT,454
H04N,G01S,0.0858,ASYM,695
H10N,H10B,0.0847,ASYM,123
H04W,G01C,0.0847,GPT,525
H05B,F24C,0.0844,GPT,126
B60R,B60J,0.0838,GPT,262
B41J,G06K,0.0834,SYM,194
B01D,F24F,0.0832,ASYM,330
G01N,A61M,0.0823,ASYM,775
G06T,A63F,0.0814,GPT,160
C12N,A61L,0.081,SYM,689
A01D,A01F,0.081,ASYM,67
H01L,C30B,0.0806,GPT,232
F02C,B64D,0.0802,SYM,142
F05D,F02K,0.0789,GPT,145
G06Q,B65G,0.0788,ASYM,279
G06F,G06T,0.0782,ASYM,1792
G06F,G08B,0.078,GPT,666
H04L,B60R,0.077,GPT,436
A61M,A24F,0.0768,GPT,121
B23Q,B25B,0.0765,SYM,204
H04N,H10F,0.0764,GPT,402
E21B,G06F,0.0764,GPT,135
F25B,B60H,0.0761,ASYM,145
H01L,G06F,0.076,GPT,752
A61M,B05B,0.0758,GPT,272
G05D,B64U,0.0757,GPT,330
A24F,A24B,0.0757,ASYM,85
H04L,G06T,0.0751,ASYM,887
H01L,B23K,0.075,ASYM,416
G01J,H10F,0.0748,SYM,312
G06F,H10K,0.0746,GPT,291
E06B,E04F,0.0745,SYM,138
H01L,H01J,0.0738,GPT,293
G02B,B29D,0.0737,GPT,392
A61K,A61C,0.0736,GPT,237
G06F,G05D,0.0733,GPT,761
F16H,B64C,0.0729,SYM,154
G02B,G03F,0.0725,GPT,273
G02B,G09G,0.0724,GPT,419
C07F,B01J,0.0723,ASYM,481
G01R,H01R,0.0723,ASYM,513
G02B,G01J,0.0723,GPT,642
G01N,G01J,0.0722,GPT,878
B60B,B60Y,0.0722,GPT,219
B63B,B63H,0.072,ASYM,244
H04L,G16H,0.072,GPT,431
H04L,G07C,0.0718,GPT,544
G06F,G10L,0.0717,GPT,461
A61B,A61C,0.0715,GPT,469
G01N,G01V,0.0713,GPT,407
B60R,B60Q,0.0713,ASYM,394
C03B,C03C,0.0711,ASYM,243
F05D,B64D,0.071,SYM,162
G06F,G16H,0.0707,GPT,824
H04L,H03M,0.0705,GPT,428
G02B,G03B,0.07,GPT,582
B60Y,B60T,0.0699,SYM,279
A24F,A24D,0.0694,ASYM,72
H04L,G06V,0.0694,GPT,761
B24B,B24D,0.069,ASYM,156
B60R,B60N,0.0689,GPT,341
H02K,F16H,0.0683,SYM,477
B60W,G01S,0.0678,SYM,358
H01L,H10K,0.0677,ASYM,356
G06F,H05K,0.0675,GPT,974
H04B,G06K,0.0673,GPT,434
A24D,A24B,0.0671,SYM,43
E05Y,E06B,0.0668,SYM,309
G01N,G06F,0.0665,ASYM,1274
A61M,H05B,0.0665,ASYM,231
A61F,A61H,0.0664,GPT,311
A61K,C07H,0.0659,GPT,645
H04N,A61B,0.0658,SYM,748
H04N,B60R,0.0656,ASYM,414
B60K,B62D,0.0652,SYM,532
A46B,A61C,0.0649,ASYM,103
