weight_current,strength_c1,strength_c2,strength_product,strength_diff,pagerank_c1,pagerank_c2,pagerank_product,same_cluster,common_neighbors,jaccard_topo,adamic_adar,top10_overlap,weight_lag1,weight_lag2,weight_growth,weight_acceleration,year,c1,c2,target_weight
7599.250605896021,17501.48203921858,16933.696853777008,296364791.34395045,567.7851854415712,0.017783413024816026,0.01774924253705815,0.00031564211091413853,0,164,0.6096654275092936,26.388513577968773,0.42857142857142855,0.0,0.0,0.0,0.0,2002,A61P,A61K,9334.971412189516
5090.395141110361,10442.851945692943,17501.48203921858,182765385.76576382,7058.630093525637,0.011307770898131664,0.017783413024816026,0.00020109076027147025,0,122,0.5446428571428571,18.48258393879525,0.17647058823529413,0.0,0.0,0.0,0.0,2002,C07D,A61P,5419.813017171273
3079.223196722962,16933.696853777008,4091.3757627066043,69282116.88056433,12842.321091070404,0.01774924253705815,0.004271359319538849,7.581339252541869e-05,0,136,0.5643153526970954,22.432795275825416,0.3333333333333333,0.0,0.0,0.0,0.0,2002,A61K,A61Q,2989.4955730051556
1387.988320767947,4345.455357987994,16933.696853777008,73584623.72378974,12588.241495789014,0.005132930328177606,0.01774924253705815,9.110562532064581e-05,0,130,0.5179282868525896,20.54490996642271,0.3333333333333333,0.0,0.0,0.0,0.0,2002,C07K,A61K,1693.3700901144828
1371.1727024906763,2171.345088663245,3921.1998336358897,8514278.000432422,1749.8547449726448,0.004141575223102167,0.008502720730132425,3.521465750487362e-05,1,208,0.5576407506702413,33.371437707038474,0.25,0.0,0.0,0.0,0.0,2002,H01M,Y02E,1406.2714636069472
1221.6900741551813,7341.134945151282,10442.851945692943,76662385.34556752,3101.71700054166,0.009877065030274183,0.011307770898131664,0.00011168758850828836,0,124,0.5876777251184834,20.95732296093035,0.6666666666666666,0.0,0.0,0.0,0.0,2002,C07C,C07D,660.2035384281908
1144.7627201549712,19479.456800188033,24528.662215722605,477805015.99757296,5049.205415534572,0.03465960985753044,0.04780492323646905,0.001656899988645209,0,546,0.8921568627450981,101.08963598797465,0.05263157894736842,0.0,0.0,0.0,0.0,2002,Y10S,Y10T,683.8176028535368
1104.318609536094,7341.134945151282,5390.37453940438,39571466.89867524,1950.7604057469025,0.009877065030274183,0.008589729554877096,8.48413174059892e-05,0,156,0.4936708860759494,25.21532450754706,0.25,0.0,0.0,0.0,0.0,2002,C07C,B01J,484.2277236967106
1000.505802450986,3431.0608475366644,5894.56314176269,20224604.80903468,2463.5022942260257,0.005710105442636953,0.009791041078332847,5.5907876950470376e-05,1,127,0.4774436090225564,19.490723953761073,0.25,0.0,0.0,0.0,0.0,2002,G11B,H04N,558.4365037614118
935.2778178887359,4345.455357987994,17501.48203921858,76051908.90005302,13156.026681230585,0.005132930328177606,0.017783413024816026,9.128102005358682e-05,0,115,0.5251141552511416,17.780842766554667,0.25,0.0,0.0,0.0,0.0,2002,C07K,A61P,1490.1888839937556
865.1726984558337,3826.9878374863283,3256.5394918184907,12462737.027483271,570.4483456678377,0.007143295292308563,0.005915982082911839,4.225960696224594e-05,1,147,0.47572815533980584,22.807220859164392,0.25,0.0,0.0,0.0,0.0,2002,A61B,A61F,1347.5741860898747
863.067974718053,7341.134945151282,17501.48203921858,128480741.39004505,10160.347094067296,0.009877065030274183,0.017783413024816026,0.0001756479269063328,0,116,0.44787644787644787,17.88310095430973,0.17647058823529413,0.0,0.0,0.0,0.0,2002,C07C,A61P,598.0828275927319
861.2771369303542,5885.719676691423,1997.4381164037075,11756360.824690754,3888.2815602877154,0.010835634664730597,0.0037386301879141475,4.0510430862770806e-05,0,285,0.7019704433497537,50.500354370894065,0.5384615384615384,0.0,0.0,0.0,0.0,2002,B29C,B29L,717.8048883941487
843.0418581037217,2993.711714584778,4977.407516118947,14900923.189267611,1983.6958015341688,0.004525322206881844,0.007671118884042998,3.471428463759045e-05,1,165,0.5851063829787234,25.383912339091257,0.3333333333333333,0.0,0.0,0.0,0.0,2002,C08K,C08L,877.7371676699885
826.2924715363735,24528.662215722605,2617.873886471741,64212944.28462628,21910.788329250863,0.04780492323646905,0.005163294257228813,0.00024683088561412486,0,188,0.3269565217391304,30.304279994732354,0.05263157894736842,0.0,0.0,0.0,0.0,2002,Y10T,F16H,685.9669068521054
819.0556605773602,10442.851945692943,16933.696853777008,176836089.1372397,6490.8449080840655,0.011307770898131664,0.01774924253705815,0.0002007043682244268,0,123,0.45555555555555555,18.70817647631523,0.1111111111111111,0.0,0.0,0.0,0.0,2002,C07D,A61K,889.4429365945142
802.9897358828455,19479.456800188033,5542.076706823409,107956643.79389495,13937.380093364623,0.03465960985753044,0.009365992386914677,0.000324621642059063,0,201,0.33668341708542715,32.397991767651945,0.0,0.0,0.0,0.0,0.0,2002,Y10S,G06F,562.6067993240358
793.6367201034867,4810.120439808165,1841.4696164872582,8857690.641551064,2968.650823320907,0.0075263204866526925,0.002799574354553285,2.1070493818581878e-05,1,50,0.3546099290780142,7.419171113678035,0.42857142857142855,0.0,0.0,0.0,0.0,2002,H04L,H04Q,1117.549409018414
782.1906597848202,5885.719676691423,1787.0925602124883,10518325.845711494,4098.627116478935,0.010835634664730597,0.0032776639424889446,3.551556903457076e-05,0,287,0.7068965517241379,50.61315937575076,0.6666666666666666,0.0,0.0,0.0,0.0,2002,B29C,B29K,520.4233595790585
778.7363359703678,4345.455357987994,3475.4483439825503,15102405.627769474,870.0070140054436,0.005132930328177606,0.004732200624186302,2.4290056102906866e-05,0,96,0.5549132947976878,15.238751382907715,0.5384615384615384,0.0,0.0,0.0,0.0,2002,C07K,C12N,1246.2268772196112
765.8360586814849,10442.851945692943,2130.6625674518295,22250193.73812946,8312.189378241113,0.011307770898131664,0.0030463284828001675,3.444718456395732e-05,0,88,0.44,15.024620310317102,0.25,0.0,0.0,0.0,0.0,2002,C07D,A01N,330.7218828562801
723.5622502994064,1822.8863366102282,5894.56314176269,10745118.611405468,4071.676805152462,0.0031445949843645045,0.009791041078332847,3.07888586666323e-05,1,84,0.3870967741935484,12.963937961030817,0.17647058823529413,0.0,0.0,0.0,0.0,2002,G06T,H04N,579.4155495443712
713.5560671799661,3010.6187527154325,24528.662215722605,73846450.44567694,21518.043463007172,0.0057879062765029,0.04780492323646905,0.00027669041524809856,0,321,0.5544041450777202,54.63896704905539,0.1111111111111111,0.0,0.0,0.0,0.0,2002,B32B,Y10T,672.7660353401512
693.071594701328,4754.2248649419635,4977.407516118947,23663714.57608171,223.1826511769832,0.0070545150735350825,0.007671118884042998,5.411602379836095e-05,1,172,0.593103448275862,26.886270275790483,0.42857142857142855,0.0,0.0,0.0,0.0,2002,C08G,C08L,560.4985734320232
689.7840121128675,7341.134945151282,4756.444971996815,34917704.398614936,2584.689973154467,0.009877065030274183,0.008183371222339062,8.082768972991725e-05,0,158,0.4030612244897959,26.312937471791525,0.17647058823529413,0.0,0.0,0.0,0.0,2002,C07C,Y02P,291.1343419505463
