cpc4,window_start,window_end,strength,pagerank,t_center
G11B,1980,1984,1066.10506691919,0.004301193375318198,1982.0
G21K,1980,1984,270.6766298849379,0.0012759379710244984,1982.0
Y02D,1980,1984,41.42780990642912,0.0006684395170883689,1982.0
A24C,1980,1984,43.95554976580298,0.0004292422792974476,1982.0
F03D,1980,1984,66.1388653960821,0.0005472363085689677,1982.0
E03F,1980,1984,66.2412482221475,0.0004837729821813098,1982.0
F05B,1980,1984,52.92725822461776,0.0004981932019738273,1982.0
F16T,1980,1984,78.46313246885329,0.0005159449212925652,1982.0
B05D,1980,1984,518.7092832042956,0.0019333451995100126,1982.0
B01L,1980,1984,159.25614416215575,0.0007808125846570469,1982.0
B29B,1980,1984,460.64225289609857,0.0018479915131514857,1982.0
G03B,1980,1984,747.6720164612639,0.003103929926791939,1982.0
A23G,1980,1984,131.04420631009793,0.0008457320298773823,1982.0
C06C,1980,1984,124.97636355304327,0.0011037473178264888,1982.0
F25C,1980,1984,7.281664849763332,0.00028156938331116115,1982.0
B64G,1980,1984,59.80956042564615,0.0004694311269260811,1982.0
G10K,1980,1984,330.5716409412772,0.0017581623640018714,1982.0
E04C,1980,1984,503.3689359250711,0.0021311240734005602,1982.0
C07C,1980,1984,12355.15113480242,0.02451652109296408,1982.0
F05D,1980,1984,85.38415524550986,0.0006844361917898617,1982.0
F03G,1980,1984,38.7118000699562,0.0003798346778792255,1982.0
F21K,1980,1984,55.774213712187304,0.0004337002896984335,1982.0
F25J,1980,1984,77.40548510336038,0.0004528598579165389,1982.0
C21C,1980,1984,431.7673829368734,0.001649393256687454,1982.0
C08K,1980,1984,2534.925698718794,0.006453954763664726,1982.0
B25C,1980,1984,59.436884927875084,0.0005402627158746837,1982.0
D06N,1980,1984,174.86211456538356,0.0008501566966585902,1982.0
H04M,1980,1984,161.13367104765888,0.001145726472409158,1982.0
B68G,1980,1984,35.61519050077241,0.0004479240483674546,1982.0
F21V,1980,1984,108.18529141989364,0.0008468017467766211,1982.0
