,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
E01,42,0,0,0,0,1,0,0,1,0,2,22,3,1,19,0,9,4,2,0,13,8,5,8,6,4,0,19,4,4,0,2,27,9,1,0,15,0,0,0,0,3,36,32,11,9,11,28,10,0,0,0,1,2,2,5,29,0,0,0,54,25,6,0,0,0,0,5,3,1,0,0,0,0,0,1,3,1,4,8,2,0,734,86,8,137,11,3,4,0,3,2,1,1,1,32,0,11,0,2,3,3,3,0,0,0,3,14,12,0,0,5,0,0,12,8,6,0,0,0,0,7,6,1,1,7,2,40,0,130
E02,30,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,27,6,4,1,3,9,5,4,24,3,1,12,0,7,0,0,17,13,1,0,7,0,0,0,0,0,39,0,30,50,1,12,25,0,0,0,0,2,15,1,9,0,0,2,6,15,0,0,0,0,0,2,4,1,1,0,0,0,0,3,4,0,0,2,5,0,86,847,26,99,2,5,97,5,7,7,19,5,76,83,1,0,0,0,2,1,0,0,1,5,1,28,3,0,0,17,1,1,1,1,0,1,0,0,1,2,17,0,0,0,0,118,0,143
E03,3,0,0,0,0,0,0,0,0,1,0,41,12,1,0,0,52,0,1,0,26,0,1,14,1,0,0,2,1,1,0,1,8,14,2,0,2,0,0,0,0,0,5,3,0,6,3,11,0,3,0,0,0,1,25,0,2,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,8,26,512,24,1,0,13,0,0,3,9,2,3,148,1,4,0,0,11,1,0,0,0,0,1,18,6,0,0,25,2,0,3,0,0,0,1,0,0,2,7,2,2,3,0,61,0,135
E04,49,0,0,1,0,1,0,1,2,6,0,82,6,9,9,0,18,0,1,0,30,0,0,11,4,28,1,29,1,30,2,31,103,113,3,5,189,0,1,0,0,20,37,8,14,25,16,44,28,0,0,0,0,0,1,15,93,3,0,1,49,39,0,1,2,0,0,3,2,5,0,0,0,5,3,5,32,0,42,6,3,9,137,99,24,2240,28,168,23,3,7,1,7,1,1,287,3,22,1,3,103,12,5,6,9,2,4,12,5,0,0,2,4,4,3,29,21,2,0,0,7,24,62,0,5,17,9,178,0,491
E05,5,1,0,1,0,0,0,0,1,19,0,77,6,9,2,0,5,0,0,1,4,0,0,2,0,10,1,11,1,4,1,6,2,10,0,1,7,0,0,0,1,0,206,26,32,5,15,39,21,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,2,1,28,2144,183,1,1,3,2,2,0,11,157,0,2,0,0,17,21,0,0,1,5,0,14,3,1,1,19,14,125,34,5,1,7,0,0,0,56,98,6,16,12,1,15,0,564
E06,12,0,0,0,0,0,0,0,2,1,1,49,1,12,1,0,4,0,0,0,11,0,0,0,0,13,0,12,1,3,0,10,1,55,0,4,47,0,1,0,0,7,43,6,4,4,4,9,19,0,0,0,2,1,0,16,1,0,0,1,7,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,3,5,0,168,183,768,0,2,0,2,2,0,1,66,0,10,0,0,35,3,1,0,2,0,0,5,19,1,0,9,2,4,4,5,0,1,0,0,1,8,18,1,5,12,2,69,1,151
E21,2,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,44,0,1,8,5,4,6,10,23,16,36,66,11,24,2,3,20,6,1,0,2,0,0,0,0,0,5,0,2,23,0,19,10,0,0,0,0,0,8,1,29,1,2,2,14,76,5,2,2,0,0,6,15,13,3,0,0,0,0,1,1,1,0,2,1,0,4,97,13,23,1,0,940,2,3,3,25,0,10,234,6,0,0,2,11,1,1,1,4,1,18,110,5,1,0,6,1,0,1,0,1,0,0,0,3,6,19,0,5,4,2,27,1,207
F01,2,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,437,0,13,14,12,1,0,4,4,45,43,117,9,14,1,3,7,16,1,0,17,0,1,0,0,0,168,2,12,11,20,3,0,2,0,0,3,14,3,3,46,0,0,11,1,7,16,1,0,0,0,22,50,71,2,3,0,2,0,0,5,0,0,0,0,2,0,5,0,3,1,2,2,3214,1210,30,323,443,18,482,3,1,34,65,17,32,1,4,93,1,2,57,3,0,0,43,1,5,0,0,15,0,0,0,4,44,32,3,3,22,2,1137,1,622
F02,7,0,0,2,0,1,0,0,0,0,0,3,21,4,3,0,305,0,3,3,30,0,1,4,2,9,63,47,5,11,2,5,0,39,0,1,10,1,4,1,0,0,319,2,32,31,84,8,1,1,0,0,9,16,7,1,33,0,5,32,25,10,100,3,7,0,0,6,33,30,10,1,4,2,0,0,0,0,1,0,0,3,3,7,0,7,3,0,3,1210,4938,5,148,485,21,583,9,0,5,151,13,29,0,1,45,3,22,221,3,6,0,97,26,12,5,2,19,4,0,0,2,149,127,30,12,15,25,1964,0,607
F03,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,9,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,3,2,0,1,0,0,0,0,0,9,0,0,9,16,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1,2,2,3,30,5,268,27,101,6,28,0,1,3,0,11,2,0,0,5,0,0,4,1,1,1,4,0,0,1,1,1,1,0,0,1,8,20,0,0,9,1,190,0,35
