,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
G06,26,1,3,1,2,7,0,6,2,4,0,26,176,0,137,0,13,0,0,0,1,2,44,1,0,1,2,26,2,22,6,1,2,35,3,0,21,8,334,76,8,9,76,15,7,4,6,92,2,12,0,2,12,2,0,3,0,0,0,19,10,18,1,4,13,0,5,1,1,5,3,1,3,1,2,2,3,0,14,1,3,10,0,1,2,4,14,2,1,1,26,0,2,0,0,26,2,1,2,0,2,7,0,0,4,7,1,599,121,138,15,214,7042,970,129,362,98,744,3,43,6,375,62,428,2270,149,54,232,23,908
G07,8,4,0,3,0,1,0,2,5,7,0,42,24,0,45,0,4,0,0,0,1,0,24,1,0,0,0,6,0,0,5,0,1,4,1,0,2,0,73,31,3,3,130,5,12,1,2,154,6,18,0,0,2,1,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,17,0,1,0,4,125,4,0,5,12,0,1,0,0,15,1,1,0,0,1,10,0,0,0,2,2,188,16,22,15,20,970,2000,87,15,18,61,2,5,1,44,9,10,282,9,2,32,12,182
G08,7,0,0,0,1,3,1,1,0,2,0,10,37,5,4,0,1,0,0,0,2,2,1,1,0,0,1,2,0,1,0,0,0,3,0,0,7,0,1,0,0,0,99,27,6,5,13,15,5,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,7,0,0,1,0,0,1,0,0,0,3,0,2,0,12,1,3,3,34,4,1,0,5,1,0,0,2,15,0,17,0,3,1,2,0,0,0,5,3,413,19,6,11,51,129,87,1173,49,12,18,0,10,2,76,20,34,301,36,17,52,10,114
G09,14,0,0,0,0,2,2,1,10,17,5,45,39,4,69,0,5,0,0,0,3,0,0,6,2,0,0,3,0,5,2,0,0,36,0,27,37,2,57,26,9,27,33,4,6,3,10,78,2,3,0,1,3,1,0,3,2,0,0,5,16,38,2,0,1,0,0,1,1,0,1,0,0,3,1,1,1,1,6,0,1,0,8,1,0,29,5,5,0,0,2,1,1,0,0,19,1,35,0,1,5,2,0,0,1,4,1,112,272,42,17,15,362,15,49,1708,20,81,1,4,1,126,19,32,336,44,45,35,0,331
G10,4,0,0,0,0,0,1,0,0,4,0,4,59,0,14,0,2,0,0,0,1,47,0,2,0,0,0,2,0,2,0,1,0,11,1,0,25,0,1,1,0,1,37,0,4,7,7,4,0,0,0,0,0,0,0,1,1,0,0,0,11,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,3,6,0,0,21,1,0,1,15,19,1,0,5,3,33,0,0,0,3,1,5,0,0,1,3,2,144,2,1,4,5,98,18,12,20,844,68,0,0,0,14,2,66,271,5,0,12,0,123
G11,4,0,1,0,0,0,0,2,0,2,2,9,25,0,12,0,21,0,1,1,28,0,1,6,1,4,17,11,9,3,0,0,1,111,1,2,44,0,41,13,0,3,17,2,1,2,1,59,1,1,0,0,199,55,0,26,23,0,1,55,143,107,10,1,14,0,0,1,13,43,4,2,10,3,0,0,0,0,2,0,0,2,0,1,0,2,7,1,0,0,4,1,1,0,2,70,0,1,1,2,4,1,4,0,2,0,1,210,112,102,8,79,744,61,18,81,68,3981,1,0,3,337,106,398,966,46,327,47,1,968
G12,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,1,0,0,4,2,1,52,8,2,1,1,3,2,0,1,0,1,83,0,0,8,3,1,2,9,3,2,0,15
G16,0,0,0,0,0,0,0,0,0,0,0,2,103,0,4,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,3,0,12,43,5,10,4,0,0,0,180,0,7,3,0,10,1,0,19,0,51
G21,1,0,0,1,0,2,0,0,0,0,0,1,99,3,1,0,86,2,7,0,3,0,2,7,14,4,6,34,5,23,0,2,1,15,11,0,6,0,0,1,0,2,0,0,2,6,0,12,4,0,0,0,14,36,15,21,22,0,0,5,13,58,1,0,0,0,0,5,58,20,14,2,0,0,0,1,0,0,3,0,1,2,0,1,0,7,0,1,3,4,2,1,4,1,0,47,3,2,37,13,4,3,0,3,19,0,1,121,4,30,0,10,6,1,2,1,0,3,0,0,1402,48,8,1,4,50,1,978,1,203
H01,22,0,1,2,1,2,0,1,4,6,5,33,196,3,17,0,236,0,25,0,85,7,4,64,8,35,180,263,117,70,10,6,23,283,12,1,142,5,101,6,1,9,355,12,21,15,25,81,20,3,0,31,443,368,14,183,392,0,4,106,747,382,37,17,21,0,0,64,271,703,200,162,12,35,2,4,23,1,35,13,2,18,7,2,2,24,56,8,6,44,149,8,29,6,20,242,17,118,4,12,35,49,10,9,61,18,19,1040,644,403,41,170,375,44,76,126,14,337,8,7,48,14369,935,298,571,1702,1626,2526,39,3490
H02,8,1,0,1,1,1,0,1,1,3,1,56,64,8,8,0,13,2,4,7,19,6,0,4,1,21,8,81,7,43,10,9,4,83,1,0,22,0,22,1,0,0,405,14,38,14,19,56,42,1,0,0,9,1,1,2,4,0,0,1,15,8,2,1,2,0,0,2,7,4,4,0,2,4,1,9,5,8,22,2,1,0,6,17,7,62,98,18,19,32,127,20,167,41,8,543,1,18,0,2,46,27,1,2,6,0,2,335,110,23,47,200,62,9,20,19,2,106,3,3,8,935,4620,175,141,275,102,1001,147,775
H03,2,0,0,1,0,0,0,0,0,0,0,0,33,0,2,0,3,0,1,0,2,8,0,1,0,0,2,0,1,1,1,0,0,1,0,0,4,0,5,0,0,0,31,3,6,0,2,3,3,0,0,1,5,0,0,2,2,0,0,3,3,2,0,0,2,0,0,1,2,1,0,1,0,0,0,2,0,0,6,0,0,0,1,0,2,0,6,1,0,3,30,0,0,1,3,9,0,1,1,2,4,0,0,0,0,2,1,400,15,3,20,103,428,10,34,32,66,398,1,0,1,298,175,3393,1203,59,185,54,5,139
H04,4,0,0,2,0,0,5,1,0,6,0,11,139,0,69,0,2,0,1,0,2,11,1,1,0,1,2,11,0,4,1,0,0,11,0,0,2,2,239,5,5,6,122,10,0,4,13,34,1,0,0,5,16,1,1,1,3,0,0,10,10,8,1,2,3,0,0,0,2,4,0,1,0,2,0,0,1,0,5,0,0,2,1,0,2,5,16,5,5,3,12,0,2,0,0,24,0,11,0,1,5,6,1,1,0,8,0,482,573,374,32,73,2270,282,301,336,271,966,2,10,4,571,141,1203,11035,126,176,435,51,489
H05,7,8,0,15,4,1,2,4,1,8,1,96,107,5,9,0,82,0,2,0,58,1,2,15,3,13,42,252,3,11,20,2,3,160,14,0,174,5,99,3,0,7,130,5,1,1,17,66,1,1,0,4,15,24,2,84,136,0,0,53,297,206,2,13,2,0,0,56,23,243,107,14,3,7,6,12,9,1,22,0,8,13,7,0,3,17,12,12,4,22,15,9,5,4,4,65,0,54,2,28,179,15,14,81,27,2,7,208,89,218,8,87,149,9,36,44,5,46,9,1,50,1702,275,59,126,4983,182,638,14,1443
H10,1,0,0,1,0,0,0,1,1,0,0,0,18,0,0,0,10,0,1,0,6,10,0,0,0,1,6,13,2,0,1,1,5,6,0,0,36,0,46,1,0,1,9,0,1,1,3,0,0,0,0,6,157,23,1,14,98,0,1,57,55,105,0,1,6,0,0,1,13,104,12,64,6,4,0,1,2,0,0,0,0,0,2,0,0,9,1,2,2,2,25,1,3,0,0,7,1,11,0,0,21,16,0,0,3,0,1,207,184,43,4,36,54,2,17,45,0,327,3,0,1,1626,102,185,176,182,3529,431,1,918
Y02,334,14,3,141,1,4,1,3,0,7,1,61,1142,42,14,0,2036,56,180,16,103,0,50,23,130,57,163,173,29,46,9,26,40,383,33,4,128,24,23,2,0,9,727,73,112,71,239,209,22,3,0,2,68,872,652,275,459,194,1,2314,605,240,343,52,519,12,2,415,626,226,231,31,12,51,3,1,31,4,63,1,4,175,40,118,61,178,15,69,27,1137,1964,190,121,344,18,338,62,56,86,384,736,294,59,212,371,13,7,480,95,43,20,430,232,32,52,35,12,47,2,19,978,2526,1001,54,435,638,431,17032,173,2371
Y04,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,27,1,0,1,27,23,12,10,0,0,1,0,0,1,39,147,5,51,14,1,173,204,10
Y10,519,46,78,396,56,146,16,60,433,92,68,517,3781,122,167,0,2063,44,94,45,552,43,105,94,79,744,441,2183,227,449,472,237,133,2320,140,290,1907,16,1276,192,34,203,2202,40,564,86,208,1779,100,125,23,15,358,579,359,642,631,55,30,1973,4407,2454,293,151,1615,16,25,186,476,828,221,292,54,448,123,169,521,26,693,62,172,567,130,143,135,491,564,151,207,622,607,35,454,241,334,4433,148,109,57,130,215,276,24,91,469,90,41,2810,766,1473,29,663,908,182,114,331,123,968,15,51,203,3490,775,139,489,1443,918,2371,10,42314
