cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
G01R,H01F,0.0065,0,0.035902,0.034546,SYM
F16B,B62D,0.0065,0,0.012983,0.016757,ASYM
C01P,C09C,0.0065,0,0.492944,0.40307,ASYM
C07C,C09K,0.0065,0,0.030901,0.040785,ASYM
A41D,A62B,0.0064,0,0.11041,0.08142,ASYM
H04L,G11B,0.0064,0,0.009434,0.00696,GPT
H01L,H10H,0.0064,1,0.078732,0.189156,GPT
B82Y,H10K,0.0064,0,0.040981,0.043617,ASYM
A61P,A23V,0.0064,0,0.019718,0.029254,GPT
H01M,B60L,0.0064,0,0.051431,0.099396,SYM
A61M,F16K,0.0063,0,0.018761,0.013545,ASYM
B65H,B26D,0.0063,0,0.0381,0.038766,ASYM
A61P,A01K,0.0063,0,0.015283,0.010446,GPT
A61K,C07D,0.0061,0,0.126646,0.172357,ASYM
A61K,C08F,0.0061,0,0.009474,0.00903,GPT
B25J,B62D,0.0061,0,0.043522,0.009858,ASYM
A23L,A23J,0.0061,0,0.066532,0.055082,GPT
B65H,B42C,0.006,0,0.062952,0.040404,GPT
C08G,G03F,0.006,0,0.021438,0.019096,ASYM
B62D,H02P,0.006,0,0.013096,0.016412,GPT
G01L,G01M,0.0059,0,0.080645,0.064917,SYM
H04L,H03K,0.0059,0,0.007576,0.005518,GPT
H01H,H02H,0.0058,1,0.039243,0.080174,ASYM
H01J,C09K,0.0058,0,0.024043,0.017608,SYM
E04B,E06B,0.0058,0,0.056235,0.04392,SYM
H03K,H02M,0.0057,0,0.06709,0.059701,SYM
A61P,A23L,0.0057,0,0.030667,0.042282,GPT
C09D,C09K,0.0056,0,0.032525,0.033207,SYM
H05B,H10K,0.0056,0,0.185185,0.170534,SYM
G06F,G09G,0.0056,0,0.032906,0.043343,GPT
H01H,H01F,0.0056,0,0.027624,0.043466,SYM
H04J,H04Q,0.0056,0,0.093609,0.085308,SYM
G01R,H01M,0.0056,0,0.026368,0.046644,SYM
B25F,B25D,0.0055,0,0.121588,0.124827,ASYM
E04B,E04H,0.0055,0,0.065107,0.073219,ASYM
F42B,F42C,0.0054,0,0.152893,0.160271,GPT
B33Y,B29C,0.0053,0,0.032123,0.040796,GPT
G01N,C40B,0.0053,0,0.028981,0.012126,GPT
A23L,A23P,0.0053,0,0.11913,0.127969,GPT
H04N,G03B,0.0052,0,0.093878,0.104678,GPT
A23L,A21D,0.0052,0,0.083086,0.062218,GPT
H04M,H04Q,0.0052,0,0.081554,0.03703,ASYM
B41J,H10N,0.0052,0,0.030888,0.035186,SYM
A61P,A01N,0.0052,0,0.013818,0.021231,GPT
C08G,B01J,0.0052,0,0.018103,0.020358,SYM
G01B,G01N,0.0051,0,0.026054,0.025604,GPT
F02B,F01L,0.005,0,0.05903,0.062474,ASYM
F02M,B60K,0.005,0,0.024734,0.027813,SYM
F01P,F02F,0.005,0,0.07972,0.061393,SYM
G06F,H03K,0.005,0,0.026392,0.023927,GPT
F16J,F16C,0.005,0,0.039294,0.043969,ASYM
B29L,B32B,0.005,0,0.053841,0.064726,SYM
H01H,H02B,0.0049,0,0.067425,0.094883,GPT
A47B,F25D,0.0049,0,0.066901,0.054598,SYM
A61M,A61J,0.0049,0,0.061299,0.066572,GPT
E05B,G07C,0.0049,0,0.059712,0.044792,SYM
B23B,B23C,0.0049,0,0.163043,0.218964,ASYM
H04N,G08B,0.0049,0,0.01549,0.018086,GPT
G06F,A63F,0.0049,0,0.017248,0.01534,GPT
F21S,F21W,0.0049,0,0.236842,0.232905,ASYM
G06F,G06T,0.0048,0,0.036025,0.047948,ASYM
C10M,C10N,0.0048,0,0.877193,0.906907,SYM
F01D,F16J,0.0047,0,0.038409,0.031322,ASYM
G07D,B65H,0.0047,0,0.060433,0.054659,GPT
G01C,G09B,0.0047,0,0.061983,0.061299,GPT
G06F,G06V,0.0047,0,0.054638,0.039717,GPT
E04B,E04F,0.0046,0,0.111581,0.125348,SYM
A61B,G02B,0.0046,0,0.022304,0.031596,SYM
A46B,A45D,0.0046,0,0.121914,0.134342,SYM
C23C,B05D,0.0046,0,0.047991,0.060309,ASYM
B25B,B25F,0.0046,0,0.082487,0.109715,ASYM
B60W,B60R,0.0046,0,0.027989,0.029532,SYM
H01Q,H01P,0.0045,0,0.046575,0.062777,GPT
A61C,A46B,0.0045,0,0.09371,0.133062,ASYM
H01L,G06K,0.0045,0,0.029607,0.018679,ASYM
F02M,H10N,0.0045,0,0.033083,0.016203,ASYM
B65G,B07C,0.0045,0,0.033774,0.036215,GPT
C07D,B01J,0.0044,0,0.014069,0.016287,ASYM
B65D,A61J,0.0044,0,0.055875,0.062743,GPT
A61P,C07C,0.0044,0,0.053315,0.052462,GPT
G09G,H05B,0.0044,0,0.022433,0.024872,ASYM
F16B,B25B,0.0043,0,0.032141,0.028621,ASYM
G06F,H03M,0.0043,0,0.012348,0.013911,GPT
H10B,H10N,0.0043,0,0.12069,0.120637,ASYM
B23P,B23K,0.0043,0,0.072426,0.054277,ASYM
C08K,B60C,0.0043,0,0.079234,0.080089,GPT
F16H,H02K,0.0043,0,0.034831,0.036238,ASYM
H04M,G10L,0.0043,0,0.032588,0.035886,GPT
D01F,D01D,0.0043,0,0.329032,0.404008,ASYM
C08J,B29C,0.0043,0,0.056849,0.068212,ASYM
D03D,D10B,0.0042,0,0.26372,0.29078,SYM
H01R,H02G,0.0042,0,0.054085,0.089154,ASYM
A23L,A23K,0.0042,0,0.103223,0.112285,GPT
G05G,H01H,0.0042,0,0.060326,0.046846,ASYM
C07C,A01N,0.0042,0,0.023467,0.028151,ASYM
A61K,A23L,0.0041,0,0.039052,0.048968,GPT
B01D,C04B,0.0041,0,0.04003,0.030527,ASYM
B60B,B60G,0.0041,0,0.043333,0.032879,ASYM
C08G,A61K,0.0041,0,0.01215,0.012454,GPT
D04H,D01D,0.0041,0,0.110331,0.124431,ASYM
B64C,F16F,0.004,0,0.027828,0.03834,ASYM
H04L,H04H,0.004,0,0.01484,0.013274,GPT
B01F,B01L,0.004,0,0.06384,0.048319,SYM
G06T,A63F,0.004,0,0.020319,0.013955,GPT
F04D,H02K,0.004,0,0.044872,0.050567,SYM
H04N,G02F,0.004,0,0.014816,0.016072,GPT
B62D,B60G,0.004,0,0.083249,0.070409,ASYM
A61B,A61C,0.004,0,0.027425,0.027277,GPT
G01P,G01D,0.004,0,0.084597,0.07828,SYM
G06F,H05K,0.0039,0,0.018335,0.022868,ASYM
C07C,C01B,0.0039,0,0.019385,0.02385,ASYM
B60J,B62D,0.0039,0,0.032497,0.035665,GPT
B65D,A45D,0.0039,0,0.035866,0.029252,GPT
