cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
A61P,A23L,0.0087,0,0.011126,0.01025,GPT
A01D,A01F,0.0086,0,0.161616,0.16763,SYM
G01N,E21B,0.0086,0,0.011869,0.007309,GPT
F16K,F16J,0.0084,0,0.018217,0.024811,SYM
G01P,G01C,0.0084,0,0.036474,0.032836,ASYM
C07C,C12P,0.0084,0,0.009899,0.012672,GPT
D04H,A61F,0.0083,0,0.027437,0.038372,ASYM
B82Y,G01Q,0.0083,0,0.063978,0.081652,GPT
C07C,C08K,0.0082,0,0.012231,0.010073,ASYM
B60B,B60C,0.0082,0,0.056022,0.028721,ASYM
A61P,C08B,0.008,0,0.010335,0.009514,GPT
B41J,B41M,0.008,0,0.035308,0.05796,SYM
F16H,F16C,0.0078,0,0.025027,0.02013,SYM
C07C,C10L,0.0077,0,0.009732,0.015658,GPT
G02B,G01M,0.0077,0,0.012054,0.007954,GPT
B01D,F28F,0.0077,0,0.014098,0.016024,GPT
C04B,F27B,0.0076,0,0.023564,0.02099,GPT
B23P,B21D,0.0076,0,0.055215,0.055263,SYM
C23C,C21D,0.0076,0,0.02635,0.025862,GPT
B01D,B04C,0.0076,0,0.01443,0.009675,GPT
B01J,C04B,0.0076,0,0.02151,0.01811,ASYM
G01N,G21C,0.0075,0,0.009451,0.006907,GPT
H02P,H02K,0.0075,0,0.061343,0.058762,ASYM
C08F,D06M,0.0074,0,0.015358,0.014054,GPT
B32B,C09J,0.0074,0,0.038725,0.044952,SYM
C03B,G02B,0.0072,0,0.017785,0.024055,GPT
G06F,B41J,0.0072,0,0.016676,0.010258,ASYM
F16B,E04G,0.0071,0,0.025121,0.015353,GPT
B22D,C21C,0.0071,0,0.07191,0.076768,ASYM
C08G,B32B,0.007,0,0.013462,0.017602,ASYM
G03G,C08G,0.007,0,0.006855,0.013245,GPT
G06F,H04Q,0.007,0,0.027956,0.01748,ASYM
G03G,B41J,0.0069,0,0.049336,0.050328,SYM
A61M,A61N,0.0069,0,0.030439,0.046494,GPT
G06K,G07F,0.0068,0,0.078483,0.063816,SYM
G01N,H01J,0.0068,0,0.010897,0.017102,GPT
G09G,G06T,0.0068,0,0.061728,0.037528,SYM
B05B,C23C,0.0068,0,0.017704,0.009896,ASYM
G01F,G01P,0.0068,0,0.066438,0.058011,SYM
G02B,G01C,0.0067,0,0.012429,0.011067,GPT
B22D,F27D,0.0066,0,0.045608,0.040847,SYM
G10K,B06B,0.0066,0,0.113924,0.074766,ASYM
B65D,A47J,0.0065,0,0.015291,0.01747,GPT
C09B,C08K,0.0065,0,0.015455,0.016236,ASYM
G03G,G03B,0.0064,0,0.083878,0.013925,SYM
G01L,A61B,0.0064,0,0.014986,0.007028,ASYM
B28D,B23D,0.0062,0,0.10804,0.106557,ASYM
G06F,G06V,0.0062,1,0.016227,0.036632,GPT
F16L,F16J,0.0061,0,0.026972,0.023529,ASYM
B23K,B21D,0.0061,0,0.027859,0.017336,ASYM
A47F,A47B,0.006,0,0.103125,0.095361,ASYM
H04N,H04M,0.006,0,0.016974,0.02377,GPT
B60J,E05Y,0.006,0,0.069476,0.064777,ASYM
B62D,F16D,0.0059,0,0.018336,0.025078,SYM
B32B,E04C,0.0059,0,0.0235,0.027515,GPT
F16L,F16K,0.0059,0,0.020447,0.014332,ASYM
B29K,B29B,0.0059,0,0.10712,0.162963,ASYM
E05F,E05D,0.0059,0,0.116904,0.11726,SYM
H04L,H03L,0.0059,0,0.030738,0.03531,GPT
B01D,F01M,0.0058,0,0.00829,0.014898,GPT
C12Q,C12M,0.0058,0,0.036446,0.024882,ASYM
B29L,B29K,0.0058,0,0.224725,0.262882,SYM
C09D,B41M,0.0056,0,0.021343,0.028539,GPT
F16L,F28F,0.0056,0,0.026139,0.011936,ASYM
B25J,B23Q,0.0055,0,0.056731,0.02381,ASYM
C21D,B21B,0.0055,0,0.114901,0.097345,SYM
A61K,C12P,0.0055,0,0.015249,0.014327,GPT
C07C,G03C,0.0055,0,0.009582,0.010695,GPT
H04B,H01Q,0.0054,0,0.039594,0.053901,GPT
D21H,B05C,0.0054,0,0.047254,0.041349,SYM
C04B,D01F,0.0054,0,0.018762,0.013308,GPT
H04N,H03K,0.0054,0,0.014243,0.007865,ASYM
E04F,E04D,0.0054,0,0.069307,0.036093,SYM
B05B,A61M,0.0053,1,0.018076,0.037485,SYM
B29C,G11B,0.0053,0,0.011887,0.013115,ASYM
G01S,G01P,0.0052,0,0.027397,0.020038,SYM
C07C,C25B,0.0052,0,0.005844,0.003824,GPT
D01D,D01F,0.0052,0,0.257778,0.285714,ASYM
G06K,G02B,0.0052,0,0.013676,0.017918,ASYM
F16J,F02F,0.0052,0,0.079153,0.070225,SYM
G01D,B41J,0.0051,0,0.025116,0.008163,SYM
A61P,A61Q,0.0051,0,0.033709,0.040263,GPT
C08G,C07D,0.0051,0,0.019762,0.020511,ASYM
B23B,B23C,0.0051,0,0.086351,0.108974,GPT
C23C,B23K,0.0051,0,0.022857,0.019166,SYM
B29C,B65H,0.0051,0,0.010916,0.008955,ASYM
B29C,B30B,0.005,0,0.021322,0.017118,GPT
F16L,F23J,0.005,0,0.017707,0.011691,GPT
B60G,F16C,0.005,0,0.02803,0.026496,ASYM
F25D,A23B,0.005,0,0.056799,0.051095,SYM
E04B,E06B,0.005,0,0.066587,0.0551,SYM
H01H,H05K,0.0049,0,0.015809,0.017419,ASYM
C03C,B32B,0.0049,0,0.024802,0.022528,ASYM
A61K,A23L,0.0049,0,0.019807,0.022115,GPT
C08J,C09J,0.0049,0,0.028231,0.027397,ASYM
E04B,E04H,0.0048,0,0.065152,0.061129,ASYM
F16H,F01L,0.0048,0,0.034457,0.017284,ASYM
F16H,B62D,0.0048,0,0.023608,0.016622,SYM
C03C,C23C,0.0048,0,0.035991,0.047447,ASYM
H01L,H01J,0.0048,0,0.030499,0.036263,ASYM
H04M,H04Q,0.0047,0,0.211864,0.229464,SYM
G11B,B82Y,0.0047,0,0.032478,0.058411,ASYM
B22F,C22C,0.0047,0,0.221273,0.183673,SYM
B60K,F02D,0.0047,0,0.036782,0.02803,SYM
G03F,B41M,0.0047,0,0.025862,0.045591,ASYM
B23D,B27B,0.0047,0,0.134831,0.120344,ASYM
G03F,G03B,0.0047,0,0.034483,0.009763,ASYM
B22F,C23C,0.0047,0,0.030356,0.039715,ASYM
F16H,F16G,0.0047,0,0.026609,0.019531,GPT
F02M,F02D,0.0046,0,0.154856,0.203209,SYM
C07C,C11B,0.0046,0,0.01705,0.012307,GPT
F24F,F25B,0.0046,0,0.059459,0.052365,SYM
F42B,F42C,0.0046,0,0.182292,0.128049,ASYM
C01B,C01G,0.0046,0,0.061794,0.064018,ASYM
C08F,A61L,0.0046,0,0.01625,0.026286,ASYM
C08F,C08C,0.0046,0,0.034036,0.033891,GPT
C07F,C08K,0.0046,0,0.024262,0.030473,ASYM
F01C,F04C,0.0046,0,0.27897,0.230159,ASYM
D04H,B32B,0.0045,0,0.029467,0.047069,GPT
B01D,C10G,0.0045,0,0.018657,0.013194,GPT
A61K,C07H,0.0045,0,0.025954,0.023813,GPT
C07C,A61K,0.0045,0,0.038937,0.05371,ASYM
G06V,G07C,0.0045,0,0.058824,0.059561,ASYM
B01D,C08J,0.0045,0,0.022569,0.019797,ASYM
C08G,D06M,0.0045,0,0.013784,0.012493,GPT
C10M,C09K,0.0044,0,0.035524,0.031832,ASYM
C08J,B29B,0.0044,0,0.034393,0.035488,ASYM
F04D,H02K,0.0044,0,0.066524,0.075051,SYM
G01D,H03M,0.0044,0,0.052301,0.030706,SYM
B01D,B01F,0.0043,0,0.011876,0.01363,GPT
B22D,B21B,0.0043,0,0.04428,0.068182,SYM
G06F,G01R,0.0043,0,0.033191,0.033539,SYM
H01J,H01K,0.0043,0,0.054496,0.037393,GPT
C07C,A61P,0.0042,0,0.079475,0.089177,ASYM
C07D,A61P,0.0042,0,0.279233,0.273906,SYM
C08L,B60C,0.0042,0,0.012877,0.024748,GPT
C21D,C22C,0.0042,0,0.072937,0.128871,ASYM
G03B,G03C,0.0042,0,0.036145,0.039848,SYM
H10D,G11C,0.0041,0,0.066239,0.054509,SYM
C08F,C07F,0.0041,1,0.020026,0.058417,ASYM
B29C,F16L,0.0041,0,0.04029,0.040427,ASYM
H04B,H03G,0.0041,0,0.031881,0.040996,GPT
E02B,B63B,0.0041,0,0.067164,0.053942,SYM
G02B,H01R,0.004,0,0.015452,0.011678,ASYM
G02B,B23K,0.004,0,0.017489,0.013733,ASYM
C08G,H01B,0.004,0,0.042188,0.038184,GPT
A61K,A61Q,0.004,0,0.248292,0.280029,GPT
A61K,A01N,0.004,0,0.015526,0.016873,GPT
B21J,B21K,0.004,0,0.180791,0.158192,SYM
C23C,F16C,0.004,0,0.012446,0.00999,SYM
B65D,B67D,0.0039,0,0.019455,0.020241,GPT
F25B,B60H,0.0038,0,0.078,0.095703,SYM
B01D,F23J,0.0038,0,0.021747,0.023449,GPT
C12N,C11D,0.0038,0,0.017192,0.018328,GPT
C01B,C04B,0.0038,0,0.030688,0.03545,SYM
A61K,C07K,0.0038,0,0.210145,0.245741,ASYM
C04B,C22C,0.0038,0,0.031515,0.018127,ASYM
G01L,G01D,0.0038,0,0.074502,0.050245,SYM
G03F,G02B,0.0038,0,0.016414,0.025316,ASYM
B65B,B65H,0.0037,0,0.037405,0.032,ASYM
G11B,H01F,0.0037,0,0.047052,0.029974,ASYM
C23C,C22C,0.0037,0,0.028762,0.039,SYM
F02B,F05C,0.0037,0,0.042781,0.042651,GPT
G01N,G01S,0.0036,0,0.011214,0.008989,GPT
A23L,A23P,0.0036,0,0.094118,0.132867,GPT
G01S,H01Q,0.0036,0,0.049315,0.071429,ASYM
B01D,C07C,0.0036,0,0.018154,0.021665,SYM
H05K,H01B,0.0036,0,0.034314,0.034396,ASYM
H01L,B23K,0.0036,0,0.027353,0.024708,ASYM
G01L,G01B,0.0036,0,0.035971,0.031056,SYM
B82Y,C01P,0.0036,0,0.087455,0.083641,SYM
H05K,G01R,0.0036,0,0.009763,0.015026,ASYM
B30B,B21D,0.0036,0,0.061485,0.06435,SYM
E04B,E04G,0.0035,0,0.041298,0.042003,ASYM
H04J,H04Q,0.0035,0,0.098387,0.106316,SYM
H01L,H10B,0.0035,0,0.03674,0.033181,GPT
B64C,B64D,0.0035,0,0.115591,0.111842,SYM
E04B,E04F,0.0035,0,0.101828,0.090523,SYM
G05F,H03K,0.0035,0,0.050122,0.05228,GPT
H01H,H01F,0.0035,0,0.031299,0.035268,SYM
F21S,F21V,0.0035,0,0.380814,0.280397,SYM
A61K,B82Y,0.0034,0,0.016127,0.0239,GPT
C07K,C07D,0.0034,0,0.017696,0.023306,ASYM
G01R,G11B,0.0034,0,0.014947,0.010972,SYM
G01S,A61B,0.0034,0,0.030518,0.023529,ASYM
H04N,B41J,0.0034,0,0.026316,0.036256,GPT
C21D,F27B,0.0034,0,0.086957,0.040498,SYM
G02B,H01B,0.0034,0,0.023565,0.019029,ASYM
B05B,B08B,0.0034,0,0.044725,0.028283,ASYM
C23C,B05D,0.0034,0,0.027778,0.037564,ASYM
C02F,C23F,0.0033,0,0.028131,0.026188,GPT
D05B,D05D,0.0033,0,0.356322,0.37931,ASYM
G01S,F41G,0.0033,0,0.036484,0.029891,GPT
C09B,C09K,0.0033,0,0.022233,0.02094,ASYM
B22F,C04B,0.0033,0,0.037651,0.029337,GPT
H02M,G05F,0.0033,0,0.061475,0.076312,ASYM
F05B,F03D,0.0033,0,0.206897,0.189655,GPT
E05Y,E05D,0.0032,0,0.627329,0.536554,SYM
C01B,C07C,0.0032,0,0.022177,0.017638,GPT
C08K,H01B,0.0032,0,0.046714,0.037794,ASYM
G02B,B65H,0.0032,0,0.010688,0.006183,SYM
B01D,F02B,0.0031,0,0.017527,0.02667,ASYM
C08G,G02B,0.0031,0,0.012728,0.012379,ASYM
H04N,H01J,0.0031,0,0.017109,0.016688,ASYM
F16C,G01P,0.0031,0,0.038797,0.028061,ASYM
F01D,F02C,0.0031,0,0.093541,0.072687,ASYM
B03B,B07B,0.0031,0,0.156863,0.134615,SYM
B29C,H05B,0.0031,0,0.009918,0.006903,GPT
H04B,H04H,0.0031,0,0.040724,0.034661,GPT
H02H,H02P,0.003,0,0.036972,0.056231,SYM
H04B,H04M,0.003,0,0.042301,0.04607,ASYM
B29C,B60J,0.003,0,0.013912,0.015253,GPT
C07D,C12P,0.0029,0,0.017461,0.018729,GPT
G01N,B01F,0.0029,0,0.009064,0.012921,GPT
C07K,C12Y,0.0029,0,0.036052,0.029143,GPT
A23L,A23C,0.0029,0,0.095847,0.121658,ASYM
A61K,C11D,0.0029,0,0.019969,0.027425,GPT
A61P,C12P,0.0029,0,0.026883,0.018948,GPT
C08G,A61L,0.0029,0,0.019713,0.020997,ASYM
A61K,C12N,0.0029,0,0.090469,0.097657,ASYM
G01R,H03K,0.0028,0,0.039536,0.032609,SYM
E02F,F15B,0.0028,0,0.141256,0.123404,SYM
B32B,C08L,0.0028,0,0.028897,0.047738,ASYM
G11C,H10B,0.0028,0,0.109116,0.093525,ASYM
B65H,B65G,0.0027,0,0.033843,0.035398,SYM
G01L,G01P,0.0027,0,0.045792,0.070796,SYM
F02D,F02P,0.0027,0,0.089059,0.083645,ASYM
C08F,G03F,0.0027,0,0.041451,0.030358,ASYM
G06F,G05B,0.0027,0,0.031266,0.040415,ASYM
C08F,D21H,0.0027,0,0.022349,0.021679,GPT
D06P,D06M,0.0027,0,0.076923,0.071786,SYM
B60W,B60K,0.0027,0,0.122693,0.150776,ASYM
A01N,C11D,0.0027,0,0.020476,0.026074,ASYM
B29D,G02B,0.0027,0,0.024091,0.024813,ASYM
A61Q,C11D,0.0027,0,0.061051,0.075356,ASYM
F16K,F15B,0.0027,0,0.052506,0.05436,ASYM
E04G,E04C,0.0027,0,0.06163,0.040169,ASYM
G01S,G01B,0.0027,0,0.029864,0.031662,SYM
C23G,C11D,0.0027,0,0.060921,0.087398,GPT
C09B,G03C,0.0026,0,0.041136,0.057453,SYM
C07C,C07K,0.0026,0,0.012977,0.01835,SYM
B65D,A45D,0.0026,0,0.020148,0.024076,GPT
G01R,H01R,0.0026,0,0.015042,0.018548,SYM
C09B,G11B,0.0026,0,0.025541,0.012195,ASYM
C12R,C12P,0.0026,0,0.230769,0.196,ASYM
C08L,A61L,0.0026,0,0.025737,0.026177,ASYM
F02B,F01N,0.0026,0,0.091671,0.095549,GPT
C23C,G11B,0.0025,0,0.0125,0.009045,SYM
H04M,H04W,0.0025,1,0.056572,0.130876,ASYM
G02B,G09F,0.0025,1,0.016749,0.033948,GPT
D10B,D04B,0.0025,0,0.328063,0.318713,SYM
G02B,H04B,0.0025,0,0.019943,0.017236,ASYM
F16F,F16D,0.0025,0,0.027737,0.033627,SYM
E21B,G01V,0.0025,0,0.049793,0.04485,ASYM
F16F,F16C,0.0025,0,0.026389,0.031954,SYM
C01G,C22B,0.0025,0,0.12936,0.047386,SYM
F02B,F01M,0.0024,0,0.04366,0.055556,GPT
G01D,G01P,0.0024,0,0.072154,0.085207,SYM
H04N,H04H,0.0024,0,0.025862,0.028488,GPT
A61B,A61N,0.0024,0,0.065232,0.081588,GPT
H01Q,H01P,0.0024,0,0.08589,0.042216,ASYM
H04L,G07F,0.0024,0,0.03336,0.02681,SYM
B01J,C01C,0.0024,0,0.014129,0.004502,GPT
D21F,D21G,0.0024,0,0.231481,0.190283,SYM
F16H,B23Q,0.0024,0,0.022404,0.015212,SYM
A61M,F04B,0.0024,0,0.03481,0.022989,ASYM
F01L,F02F,0.0024,0,0.133152,0.136294,SYM
E05F,E05Y,0.0024,0,0.443925,0.522757,ASYM
A23L,A21D,0.0024,0,0.079667,0.096234,GPT
G06F,G06Q,0.0023,0,0.038906,0.053402,GPT
F28F,F24H,0.0023,0,0.04441,0.032353,ASYM
C25D,C23C,0.0023,0,0.035639,0.032193,GPT
B01D,D01D,0.0023,0,0.011431,0.005036,GPT
C07C,C10M,0.0023,0,0.014794,0.018942,GPT
G02B,G01J,0.0023,0,0.027322,0.019669,GPT
F02B,C10L,0.0023,0,0.03532,0.029004,GPT
G01N,C12M,0.0023,0,0.015556,0.015116,GPT
B29D,B29L,0.0023,0,0.128173,0.12995,ASYM
A61P,A23K,0.0023,0,0.01408,0.005574,GPT
B65D,B21D,0.0023,0,0.025164,0.021002,ASYM
E21B,E02D,0.0023,0,0.049202,0.034711,ASYM
G06K,B41J,0.0022,0,0.067367,0.097284,SYM
G06T,G06V,0.0022,0,0.064014,0.083488,ASYM
A23L,A23B,0.0022,0,0.087287,0.099765,ASYM
G01L,G01G,0.0022,0,0.056058,0.054176,ASYM
B01J,C01P,0.0022,0,0.027209,0.032928,GPT
G03G,H04N,0.0022,0,0.034936,0.037815,ASYM
B60K,B60T,0.0022,0,0.063979,0.052347,SYM
G01N,G01R,0.0022,0,0.019703,0.02077,ASYM
B01J,B01F,0.0022,0,0.019372,0.023667,GPT
A01N,C07F,0.0022,0,0.037446,0.028609,SYM
C10M,C10N,0.0022,0,0.808564,0.743089,SYM
B01D,A61M,0.0022,0,0.027832,0.022881,ASYM
C07H,C12Q,0.0022,0,0.059421,0.082344,SYM
G06Q,G07F,0.0021,0,0.45068,0.382793,SYM
C09K,G21K,0.0021,0,0.031193,0.02156,GPT
C09B,C09D,0.0021,0,0.042899,0.054416,ASYM
B29C,H02G,0.0021,0,0.012936,0.007396,GPT
B63B,B63H,0.0021,0,0.14978,0.126016,ASYM
F16D,B61H,0.0021,0,0.046455,0.024182,GPT
G01S,G10K,0.0021,0,0.06014,0.034325,ASYM
C07H,C12P,0.0021,0,0.058001,0.051613,SYM
H01L,H05K,0.0021,0,0.1235,0.111839,SYM
B01D,C01B,0.002,0,0.054843,0.057461,ASYM
B01F,C02F,0.002,0,0.06108,0.029908,SYM
B05B,B65D,0.002,0,0.041987,0.048792,ASYM
C07K,C12Q,0.002,0,0.046732,0.056219,GPT
H04N,H03M,0.002,0,0.029131,0.028546,GPT
G01N,B01L,0.002,0,0.073664,0.086214,GPT
G06F,G09G,0.002,0,0.064555,0.054602,ASYM
B26D,B26F,0.002,0,0.221445,0.242054,ASYM
C21B,C21C,0.002,0,0.149798,0.124528,SYM
F24D,G05D,0.002,0,0.029963,0.027638,GPT
H01H,H02B,0.002,0,0.092493,0.091008,GPT
G01N,A61B,0.0019,0,0.032987,0.035777,ASYM
B01L,A61B,0.0019,0,0.020561,0.01572,GPT
B29C,G05B,0.0019,0,0.013161,0.008734,GPT
H05B,H01J,0.0019,0,0.016962,0.025735,SYM
H01L,H10H,0.0019,0,0.032289,0.040592,GPT
B29C,A61F,0.0019,0,0.017849,0.020756,ASYM
H04N,H04L,0.0019,0,0.020215,0.037394,ASYM
A23L,A23J,0.0019,0,0.047072,0.088983,GPT
C08L,C09K,0.0019,0,0.022917,0.020906,ASYM
D10B,D03D,0.0019,0,0.184874,0.184915,SYM
B29C,G02B,0.0019,0,0.017276,0.015752,ASYM
F04D,F01D,0.0019,0,0.087092,0.07362,SYM
H01H,H01R,0.0019,1,0.019661,0.040093,SYM
G01F,F02D,0.0019,0,0.022361,0.008621,SYM
B01J,C07C,0.0019,0,0.12385,0.132372,SYM
G05B,B23Q,0.0019,0,0.048626,0.038806,SYM
H01F,H02K,0.0019,0,0.031733,0.034135,SYM
C10K,C10J,0.0019,0,0.384106,0.439252,SYM
B25J,G05B,0.0019,0,0.074915,0.08026,ASYM
C04B,B23K,0.0019,0,0.013905,0.008798,ASYM
G01R,H02H,0.0019,0,0.037418,0.047782,ASYM
F16B,B62D,0.0018,0,0.023035,0.02626,SYM
D21H,B41M,0.0018,0,0.04084,0.040519,SYM
