cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
C08F,A61K,0.4157,0,0.009309,0.008661,ASYM
B01J,A61K,0.2594,0,0.008882,0.010037,ASYM
A61K,C08L,0.1991,0,0.008402,0.008541,ASYM
A61K,A23G,0.192,0,0.008693,0.006734,GPT
C08F,C07D,0.1505,0,0.009826,0.007469,ASYM
G01N,A61M,0.1363,0,0.009362,0.006234,ASYM
C10M,C07D,0.1254,0,0.007634,0.003557,GPT
F24F,G05D,0.1112,0,0.028939,0.044053,ASYM
B01J,C07D,0.1042,0,0.010847,0.014393,SYM
G01N,C07D,0.0917,0,0.008276,0.012122,ASYM
C21D,H01F,0.0829,0,0.028169,0.021934,ASYM
B65B,A23B,0.074,0,0.025329,0.01556,ASYM
C11D,D06M,0.0656,0,0.046404,0.061526,ASYM
A61K,A61J,0.0647,0,0.005639,0.006584,GPT
B01D,C01F,0.0581,0,0.009415,0.009534,GPT
B05B,B05D,0.0576,0,0.051607,0.045537,SYM
E06B,E05Y,0.0564,0,0.08547,0.112903,SYM
A61P,A61L,0.0501,0,0.009117,0.011982,GPT
A61K,A61F,0.0498,0,0.009154,0.011395,GPT
H04N,G11C,0.0489,0,0.015823,0.007182,ASYM
B65B,B67C,0.0483,0,0.054173,0.045082,GPT
H03H,H04B,0.0452,0,0.028884,0.013822,GPT
H02P,G11B,0.0417,0,0.016026,0.006391,GPT
C08G,G11B,0.0409,0,0.008944,0.008756,ASYM
F16L,A61M,0.0401,0,0.010886,0.011403,SYM
G03F,C07D,0.0383,0,0.006641,0.00551,GPT
G11B,H02K,0.0378,0,0.019053,0.014976,ASYM
A61K,C08G,0.037,0,0.011439,0.013127,ASYM
G01R,H02J,0.0367,0,0.02521,0.032026,ASYM
A61B,G06T,0.0361,0,0.011738,0.017742,ASYM
A61B,G10K,0.0357,0,0.019417,0.012247,GPT
H01B,H02G,0.0355,0,0.030841,0.026119,SYM
C09B,C07D,0.034,1,0.012025,0.026635,GPT
H01J,C09K,0.0322,0,0.01897,0.016414,ASYM
B25B,B23Q,0.0315,0,0.03839,0.04343,ASYM
B01F,A47J,0.0309,0,0.029621,0.013228,ASYM
B01D,F24F,0.0296,0,0.010047,0.010365,GPT
H02H,H03K,0.0282,0,0.027719,0.01959,ASYM
B60N,A47C,0.0282,0,0.103943,0.104651,SYM
C12N,A01H,0.0279,0,0.011369,0.008962,GPT
F02D,F01L,0.0275,0,0.064278,0.083781,ASYM
G03F,C07C,0.0268,0,0.010958,0.011153,GPT
B60H,G05D,0.0266,0,0.034052,0.011416,ASYM
C08G,D01F,0.0264,0,0.01577,0.021821,GPT
A61C,A61K,0.0258,0,0.007528,0.005137,GPT
C09K,B24D,0.0255,0,0.020274,0.019053,GPT
G05B,H02P,0.0252,0,0.027168,0.025974,ASYM
F04C,F04B,0.0251,0,0.042553,0.069884,ASYM
H02H,H02M,0.0249,0,0.045302,0.039092,SYM
B62M,B62K,0.0245,0,0.233333,0.31383,SYM
C10G,C10L,0.0241,0,0.040097,0.029549,ASYM
B23Q,B23D,0.024,0,0.05,0.069767,ASYM
C01B,C22B,0.0226,0,0.019816,0.010598,GPT
G01N,G01V,0.0216,0,0.01141,0.012135,GPT
B01D,E03F,0.0216,0,0.008778,0.009427,GPT
G06F,H03K,0.0213,0,0.030395,0.03368,ASYM
B01J,F23C,0.0208,0,0.014952,0.011782,GPT
H04N,H02M,0.0198,0,0.009041,0.00937,GPT
B01D,F26B,0.0197,0,0.013171,0.012677,GPT
B64C,G05D,0.0194,0,0.03125,0.015113,ASYM
B01D,C08F,0.0194,0,0.007159,0.010816,SYM
H04N,H03L,0.0185,0,0.012568,0.010719,GPT
C07D,B41M,0.0184,0,0.005597,0.004837,GPT
B01D,B03C,0.0183,0,0.01288,0.011507,GPT
G06K,G06Q,0.0181,0,0.071081,0.06044,ASYM
G07F,G07C,0.0177,0,0.081411,0.059086,SYM
G01F,B67D,0.0176,0,0.040971,0.034483,ASYM
E04C,B28B,0.0173,0,0.048561,0.022642,SYM
B01F,B29B,0.0173,0,0.053213,0.033816,SYM
F16B,E06B,0.0172,0,0.023712,0.02381,ASYM
B60J,B62D,0.0171,0,0.031659,0.03937,ASYM
H04L,H04W,0.017,0,0.0348,0.062974,GPT
B01D,C10K,0.0169,0,0.011412,0.008118,GPT
C07K,C12N,0.0167,0,0.279916,0.259239,SYM
F21V,H01R,0.0163,0,0.028131,0.020134,ASYM
B01J,C07F,0.0158,0,0.014958,0.025278,ASYM
F16F,B64C,0.0157,0,0.031606,0.02449,ASYM
G06K,G07C,0.0156,0,0.057751,0.040571,ASYM
H04M,H04L,0.0152,0,0.037344,0.03584,ASYM
B65D,B65G,0.015,0,0.017054,0.014173,ASYM
F16B,B25B,0.0149,0,0.032057,0.043278,ASYM
C21D,F27D,0.0143,0,0.063091,0.057663,SYM
C04B,B22D,0.0141,0,0.016027,0.010428,GPT
G02B,H01J,0.0141,0,0.01335,0.009722,ASYM
H01F,F02P,0.0138,0,0.028302,0.017878,ASYM
A61M,F16K,0.0137,0,0.019863,0.01262,SYM
B05C,B05D,0.0137,0,0.073306,0.069767,SYM
C09B,C07C,0.0136,0,0.010743,0.012317,GPT
B29D,B29K,0.0136,0,0.08338,0.095462,ASYM
G03F,C08G,0.0134,0,0.023996,0.022068,GPT
E06B,E05D,0.0134,0,0.081522,0.115486,SYM
B30B,B28B,0.0132,0,0.041009,0.055147,ASYM
B60W,B60T,0.0129,0,0.055138,0.070529,SYM
H05B,H02M,0.0126,0,0.043388,0.072871,ASYM
B01J,C01G,0.0126,0,0.01745,0.020083,GPT
H01M,C25B,0.0125,0,0.079861,0.072802,ASYM
A61M,A61K,0.0125,0,0.012164,0.009624,GPT
A61K,C08B,0.0125,0,0.012428,0.015529,GPT
B60J,E06B,0.0124,0,0.052067,0.02546,SYM
H03F,H03G,0.0123,0,0.083815,0.14321,SYM
C08F,G01N,0.0122,0,0.006376,0.005353,SYM
F02C,B64D,0.0119,0,0.081006,0.045198,SYM
B05B,B05C,0.0119,0,0.052192,0.059305,ASYM
F16B,E04F,0.0118,0,0.029185,0.035185,ASYM
B01J,F28F,0.0117,0,0.011641,0.013333,GPT
A01D,A01B,0.0115,0,0.203463,0.174528,SYM
G08B,H04W,0.0114,0,0.077283,0.046341,SYM
G05B,B24B,0.0113,0,0.04071,0.022873,ASYM
C07C,C07H,0.0112,0,0.010552,0.012444,GPT
F02B,F01P,0.0111,0,0.038717,0.025874,GPT
A01N,A61P,0.011,0,0.016026,0.013188,GPT
F16B,E04B,0.0109,0,0.06049,0.04498,ASYM
A61N,A61H,0.0107,0,0.069182,0.035519,ASYM
A61K,A61P,0.0107,0,0.361125,0.39598,SYM
C01B,C11D,0.0105,1,0.013707,0.042418,ASYM
B60Q,F21S,0.0104,0,0.113924,0.124277,SYM
E21B,C09K,0.0102,0,0.017132,0.018037,ASYM
B23P,B23K,0.0101,0,0.044335,0.035072,ASYM
E05B,G07C,0.0101,0,0.042751,0.049774,SYM
F16J,F16C,0.0101,0,0.043478,0.031887,ASYM
A61K,C07F,0.01,0,0.017496,0.020548,GPT
F16H,H02K,0.0099,0,0.021001,0.034845,ASYM
C09B,B41M,0.0099,0,0.041623,0.059128,SYM
B65D,A23B,0.0098,0,0.018713,0.012474,GPT
B26D,B23D,0.0098,0,0.074324,0.054817,SYM
A61G,A47C,0.0097,0,0.108949,0.131086,SYM
H04Q,H03K,0.0097,0,0.018332,0.002165,SYM
G02F,G09F,0.0096,0,0.024055,0.027581,ASYM
H01R,H02B,0.0096,0,0.030457,0.033097,GPT
H10D,H10F,0.0094,0,0.031097,0.034649,ASYM
B23P,B25B,0.0093,0,0.054839,0.050903,SYM
B65H,G03B,0.0091,0,0.019714,0.0158,ASYM
E06B,E04F,0.0091,0,0.037956,0.057522,SYM
B60J,B60R,0.009,0,0.052868,0.048282,ASYM
B60T,F04B,0.0089,0,0.023945,0.039638,SYM
C10N,C10L,0.0089,0,0.112791,0.094955,ASYM
