cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
C11D,D06L,0.3902,0,0.080146,0.041353,GPT
B01F,B28C,0.2963,0,0.045087,0.038384,GPT
A01K,C07K,0.2086,0,0.044888,0.061734,GPT
G01S,F41G,0.1891,0,0.032895,0.016839,GPT
F02D,G01M,0.1482,0,0.019268,0.010635,GPT
G06F,G10L,0.1424,0,0.019369,0.024022,GPT
G06F,H04W,0.1077,0,0.022293,0.032709,SYM
C09B,G11B,0.0781,0,0.015533,0.010208,ASYM
F02M,F01N,0.0763,0,0.062998,0.080402,SYM
G02B,G11B,0.0703,0,0.013903,0.017704,SYM
C21C,C22B,0.0634,0,0.097561,0.098558,ASYM
H04L,H04M,0.0572,0,0.082806,0.095398,ASYM
G09G,H01J,0.0561,0,0.028101,0.026286,ASYM
H04Q,G06F,0.0554,0,0.015698,0.007205,ASYM
C07C,C10G,0.0544,0,0.030032,0.025729,GPT
A01K,A61K,0.0537,0,0.012424,0.020666,GPT
B01J,B01L,0.0534,0,0.033766,0.056565,GPT
H04N,A63F,0.0519,0,0.014463,0.007841,GPT
E21B,B63B,0.0504,0,0.043165,0.021363,ASYM
H01M,H01G,0.0499,0,0.058772,0.061801,GPT
B65D,A44B,0.0497,0,0.020264,0.013816,GPT
H04L,H04W,0.0485,0,0.170137,0.337373,ASYM
F01D,F16J,0.0469,0,0.042254,0.051531,ASYM
C09K,H10K,0.0436,1,0.049881,0.110863,GPT
B60C,D07B,0.0429,0,0.052469,0.041714,GPT
A01K,C12N,0.0415,0,0.048702,0.067982,GPT
B65D,B67D,0.0396,0,0.021595,0.022997,GPT
G05B,F02D,0.0393,0,0.014949,0.016073,ASYM
B60K,B60Y,0.039,0,0.077428,0.093199,GPT
F24C,F23D,0.039,0,0.054094,0.036392,SYM
H04N,G06V,0.038,0,0.019776,0.039204,GPT
G06Q,H04L,0.0366,0,0.049981,0.059492,GPT
B65D,A47J,0.0354,1,0.016856,0.03527,GPT
D21H,D21C,0.033,0,0.065041,0.061644,GPT
C07F,C07B,0.0309,0,0.055984,0.065865,ASYM
H04Q,H04W,0.0299,0,0.049383,0.032648,SYM
G01M,G01B,0.0284,0,0.035907,0.036596,ASYM
C08G,D06M,0.0261,0,0.017737,0.020383,GPT
B01J,C40B,0.0261,0,0.063057,0.078857,GPT
F01L,H01F,0.0258,0,0.035443,0.021137,ASYM
A23L,A23K,0.0257,0,0.098148,0.10597,GPT
B08B,B05B,0.0256,0,0.028953,0.028409,ASYM
F16H,B60T,0.0253,0,0.0343,0.02517,SYM
H04L,G05B,0.0248,0,0.012251,0.009677,GPT
F01D,F02C,0.0243,0,0.148113,0.189902,ASYM
B60R,F42B,0.0234,0,0.018182,0.013352,GPT
H01L,B08B,0.0233,0,0.018462,0.013161,GPT
C09K,H01J,0.023,0,0.016135,0.021007,ASYM
B60C,B60B,0.0208,0,0.050453,0.036245,ASYM
G01N,G01M,0.0205,0,0.016054,0.012294,GPT
B65H,B65B,0.0202,0,0.025149,0.032724,SYM
C08G,H05K,0.0195,0,0.019201,0.017712,ASYM
B62D,F16D,0.0188,0,0.017566,0.015,SYM
H05K,H01F,0.0185,0,0.019499,0.016468,ASYM
F02F,F16J,0.0176,0,0.078699,0.082247,SYM
B29C,G11B,0.0173,0,0.01346,0.007764,ASYM
F16K,F25B,0.0171,0,0.025258,0.016032,SYM
G06T,G09G,0.0169,0,0.032379,0.027523,ASYM
A61L,B65B,0.0168,0,0.011101,0.014978,ASYM
H04L,H03L,0.0167,0,0.018487,0.01263,GPT
G06F,H04M,0.0163,0,0.032992,0.063752,ASYM
C08J,H01M,0.0163,0,0.02332,0.038795,ASYM
C07D,C12P,0.0163,0,0.013514,0.010344,GPT
H04B,H04M,0.016,0,0.05219,0.071689,SYM
F01D,C23C,0.0159,0,0.029801,0.034293,ASYM
H04B,H03F,0.0159,0,0.020727,0.02461,GPT
G06T,A61B,0.0157,0,0.019128,0.034382,ASYM
F04D,F16C,0.0156,0,0.033845,0.029769,ASYM
A61P,A23V,0.0156,0,0.01231,0.018289,GPT
B01D,F25J,0.0154,0,0.013528,0.009129,GPT
G11B,G11C,0.0154,0,0.021911,0.034141,ASYM
F26B,D21F,0.0149,0,0.055821,0.023077,SYM
F25D,A23B,0.0147,0,0.048193,0.042918,SYM
B60G,B60T,0.0147,0,0.045209,0.045798,ASYM
F04B,B60T,0.0146,0,0.04059,0.017528,SYM
C07C,A61P,0.0145,0,0.072393,0.054063,ASYM
F21S,F21W,0.0141,0,0.21709,0.235113,ASYM
C21B,F27B,0.014,0,0.125984,0.164948,ASYM
B01J,B01F,0.014,0,0.034154,0.044266,GPT
H04B,G06K,0.0136,0,0.013517,0.02094,ASYM
B65H,B26D,0.0135,0,0.038835,0.03828,ASYM
B21C,B21B,0.0135,0,0.07563,0.095238,SYM
A61P,A61L,0.0133,0,0.0211,0.02263,GPT
F16C,G01P,0.0132,0,0.037442,0.028457,ASYM
B21C,B21D,0.0132,0,0.069565,0.074456,ASYM
C12N,A61P,0.0132,0,0.080256,0.117457,GPT
B60R,F16F,0.0128,0,0.019929,0.015543,ASYM
