cpc_1,cpc_2,convergence_prob,horizon,convergence_type,jaccard_current,jaccard_slope,symmetry_ratio,acp_distance,absorption_max,corr_diff2,same_cluster
B01J,C02F,0.0007,2023-2028,ASYM,0.041098,0.0001394,0.3588,0.1449,0.0,0.9298,1
B01D,C02F,0.0007,2023-2028,GPT,0.117624,0.00226548,0.2888,0.1914,0.0,0.7811,1
B01D,H01M,0.0007,2023-2028,SYM,0.013412,-0.00011604,0.8447,0.0889,0.7857,0.9109,0
B62D,F16H,0.0007,2023-2028,SYM,0.026457,-0.00132822,0.9871,0.0409,0.7857,0.8617,1
A61P,C12N,0.0007,2023-2028,ASYM,0.145077,-0.00138411,0.4125,0.2632,0.6931,0.9799,1
C07D,A01N,0.0007,2023-2028,GPT,0.05572,-0.00050366,0.2404,0.2655,0.6931,0.9347,0
C09K,G02F,0.0007,2023-2028,SYM,0.036789,-0.00668089,0.8137,0.2079,0.9097,0.6416,0
H04W,G06F,0.0007,2023-2028,SYM,0.065119,-0.00229,0.8773,0.3724,0.0,0.9363,1
F05D,B64D,0.0006,2023-2028,SYM,0.079037,0.00395535,0.6637,0.1217,0.7857,0.96,1
H04N,G01N,0.0006,2023-2028,SYM,0.01574,0.00135452,0.7606,0.1641,0.7857,0.9552,0
A61P,C07D,0.0006,2023-2028,ASYM,0.251839,0.00419744,0.433,0.1078,0.6931,0.9713,1
C09K,H10K,0.0006,2023-2028,SYM,0.148852,-0.00319377,0.8964,0.0963,0.7857,0.8576,1
G05D,B64D,0.0006,2023-2028,SYM,0.038731,0.00253439,0.8674,0.0652,0.7857,0.8313,1
H04L,G16H,0.0006,2023-2028,GPT,0.008491,0.00068943,0.1376,0.4781,0.9097,0.9174,0
B01D,C01B,0.0006,2023-2028,ASYM,0.051102,-0.00123487,0.3903,0.1093,0.0,0.8264,1
G02B,H04B,0.0006,2023-2028,SYM,0.014237,0.00079717,0.9716,0.3771,0.9097,0.8029,0
A61K,C07K,0.0006,2023-2028,GPT,0.206696,-0.00040001,0.2998,0.1697,0.6931,0.9779,1
B29C,A61M,0.0006,2023-2028,SYM,0.011421,-0.00072733,0.6733,0.32,0.9097,0.8458,0
H04N,G06K,0.0006,2023-2028,GPT,0.023712,-0.00032592,0.232,0.0752,0.4975,0.9563,1
G02B,F21S,0.0006,2023-2028,GPT,0.040394,-0.00145116,0.2083,0.1745,0.9097,0.6798,0
G01R,H02J,0.0005,2023-2028,SYM,0.092545,0.00428129,0.9844,0.085,0.7857,0.8895,1
G02B,F21V,0.0005,2023-2028,GPT,0.049549,-0.00338328,0.2461,0.1445,0.9097,0.8765,0
A61P,C07K,0.0005,2023-2028,ASYM,0.214988,-0.00152987,0.3636,0.1533,0.6931,0.9835,1
B32B,C09J,0.0005,2023-2028,ASYM,0.083931,0.0011455,0.3178,0.1151,0.826,0.9288,1
B32B,C08L,0.0005,2023-2028,SYM,0.072046,0.00053697,0.8966,0.0897,0.826,0.8611,1
B60K,F16H,0.0005,2023-2028,SYM,0.10301,-0.00023476,0.7249,0.0677,0.7857,0.8673,1
A61B,B01L,0.0005,2023-2028,GPT,0.011311,-0.00039192,0.1465,0.4358,0.9097,0.9345,1
G01N,B01L,0.0004,2023-2028,GPT,0.113046,-0.00018184,0.1656,0.4366,0.9097,0.9355,0
C07C,B01J,0.0004,2023-2028,SYM,0.147896,0.00148474,0.8197,0.0886,0.0,0.8387,1
H02J,B60L,0.0004,2023-2028,SYM,0.15424,0.00030198,0.7357,0.047,0.7857,0.828,1
F16H,B60W,0.0004,2023-2028,SYM,0.041421,-0.00923279,0.7856,0.066,0.7857,0.738,1
G05B,H02J,0.0004,2023-2028,SYM,0.024506,-0.00197664,0.8456,0.138,0.7857,0.8631,0
H04N,G06T,0.0004,2023-2028,SYM,0.181708,0.00131366,0.9139,0.1326,0.4975,0.9207,1
B29C,G01N,0.0004,2023-2028,SYM,0.008744,0.00057268,0.821,0.1141,0.826,0.8863,0
H01M,B60L,0.0003,2023-2028,SYM,0.116612,0.00112713,0.7764,0.0583,0.7857,0.9258,1
A61K,C12N,0.0003,2023-2028,ASYM,0.152323,0.00071992,0.3401,0.0442,0.6931,0.9746,1
